id,es,en
H23,"animándolas a que nos aporten ideas que servirán para luego modificar o complementar el trabajo que realizamos, generando un cambio significativo en él.","encouraging them to provide us with ideas that will later serve to modify or complement the work we do, generating a significant change in it."
H24,Obtener esta información es importante ya que es nuestra forma de acercarnos al impacto real que podría tener nuestro proyecto en la sociedad y el mercado.,Obtaining this information is important as it is our way of getting closer to the real impact that our project could have on society and the market.
H25,En ocasiones conseguimos que empresas o entidades se sumen a la causa y nos apoyen facilitándonos información y recursos.,Sometimes we get companies or organisations to join the cause and support us by providing us with information and resources.
H26,"Además, también es vital que el trabajo que hacemos llegue a todo el mundo;","In addition, it is also vital that the work we do reaches everyone;"
H27,"buscamos que cualquier persona, independientemente de sus circunstancias sociales o personales, tenga acceso a estos conocimientos.","we want anyone, regardless of their social or personal circumstances, to have access to this knowledge,"
H28,¡Así nadie se queda sin entender algún concepto!,so that no one is left without understanding a concept!
H29,¡Increíble! Hacéis una gran labor de integración.,Incredible! You do a great job of integration.
H30,"¡Efectivamente! Si no hiciéramos este trabajo, no tendría sentido nada de lo que hacemos con la biología sintética.","That's right! If we didn't do this work, nothing we do with synthetic biology would make sense."
H31,"Por cierto, ya que estás aquí, ¿por qué no me ayudas a divulgar información sobre este tema tan importante?","By the way, while you're here, why don't you help me disseminate information on this important subject?"
H32,"(Madre mía, y yo que pensaba que vendría a ayudar en un área, ¡y resulta que trabajo en todas!)","(My goodness, I thought I was coming to help in one area, and it turns out I work in all of them!)"
H33,¿Ahora?,Now?
H34,¡Ahora mismo!,Right now!
H35,"Teníamos una presentación con una escuela, y la iba a cancelar porque tengo una reunión con un stakeholder y no tengo tiempo...",We had a presentation with a school I was going to cancel because I have a stakeholder meeting and I don't have time....
H36,"¡Pero ahora que sabes tanto, la puedes dar tú!","But now that you know so much, you can give it!"
H37,Supongo que podría hacerlo… pero ¿qué es eso de un stakeholder?,I suppose I could do it... but what is this stakeholder thing?
H38,"¡Es verdad, que no estás puesto en la jerga!","That's right, you're not up on the slang!"
H39,"Me llevaría un rato explicártelo bien, pero grosso modo, son las personas y empresas a las que les interesa en lo que trabajamos.",They are peaple that are very interested in our project.
H40,"Si quieres, luego le preguntas a alguno de mis compañeros, que seguro que te lo dicen encantados.","If you want, ask one of my colleagues later, they'll be happy to tell you."
H41,Háblame de nuevo cuando estés listo. ¡Ya verás como va a salir genial!,"Talk to me again when you're ready, you'll see how great it's going to be!"
H42,(Espero dar la talla…),(I hope I'm up to the task...)
H43,"¡Oh! Tú debes ser el nuevo, ¿no?","Oh! You must be the new guy, right?"
H44,"Así es, ¡encantado!","That's right, nice to meet you!"
H45,"Si no es mucha molestia, ¿podría preguntar por qué estáis tan alborotados?","If it's not too much trouble, could I ask why you're all in such a hurry?"
H46,"¡Claro claro, no es molestia alguna!","Of course, it's no bother at all!"
H47,"Es que mira, resulta que nos van a descalificar de la competición.",It's just that it turns out we're going to be disqualified from the competition.
H48,¡Ahh! Entiendo.,Ahh! I see.
H49,...,…
H50,¿Perdón?,Excuse me?
H51,"Como oyes, al parecer ha habido un fallo de comunicación con la fecha de entrega.","As you can hear, there seems to have been a miscommunication with the delivery date."
H52,¿Cuándo esperabais entregar el proyecto?,When did you expect to deliver the project?
H53,En 2 meses.,In 2 months.
H54,¿Y cuando se entrega?,And when is it due?
H55,En 15 minutos.,In 15 minutes.
H56,...,…
H57,"Bueno, un fallo lo tiene cualquiera.","Well, anyone can make a mistake."
H58,"Un placer conoceros, espero que podamos trabajar juntos en un futuro proyecto.","Nice to meet you, I hope we can work together on a future project."
H59,Os deseo buena suert-,I wish you good luck…
H60,"En ese momento empiezas a irte, pero notas como él te agarra del brazo.","When you start to leave, you notice how he grabs your arm."
H61,"¡OYE! Ya que estás aquí, ¿por qué no te quedas y nos echas una mano?","Hey, while you're here, why don't you stay and give us a hand?"
H62,"¡Sólo te costará 15 minutos! Sé que parece poco tiempo, pero menos es nada… y cuanta más gente participe, ¡mejor!","It willl only take 15 minutes! I know it seems like a short time, but less is nothing... and the more people involved, the better!"
H63,"E-Eh... B-bueno… Yo venía con esa intención, así que es verdad que podría aprender mucho…","E-Eh... W-well... I came with that in mind, so it's true that I could learn a lot..."
H64,"¡Pues claro! ¡Ya verás como si nos esforzamos, podremos entregar el proyecto a tiempo!","Of course! You'll see, if we work hard, we'll be able to deliver the project on time!"
H65,"¡G-Genial! Pero no tengo ni idea de por dónde empezar, ¿qué podría hacer?","G-Great! But I have no idea where to start, what could I do?"
H66,Mmmmm…,Mmmmm…
H67,"Pues mira, resulta que nosotros somos un equipo muy multidisciplinar… bueno, ¿conoces el concepto de multidisciplinariedad?","Well look, we are a very multidisciplinary team... well, you know the concept of multidisciplinarity?"
H68,Eso es cuando dentro de un equipo hay gente con distintas especialidades ¿no?,"That's when within a team there are people with different specialities, isn't it?"
H69,"Algo así, la multidisciplinariedad es cuando personas que trabajan en muchos ámbitos distintos se unen para poner en común el conocimiento de sus respectivas áreas y desarrollar un trabajo conjunto.","Something like that, multidisciplinarity means that people working in many different fields come together to share the knowledge of their respective areas and develop joint work."
H70,"De esta forma, hay un gran intercambio de ideas y perspectivas que genera un entorno de trabajo muy enriquecedor y da lugar a propuestas más innovadoras.","In this way, there is a great exchange of ideas and perspectives that generates a very enriching work environment and leads to more innovative proposals."
H71,"La biología sintética cada vez trabaja más con equipos multidisciplinares, y en nuestro caso, el grupo lo forman cinco ámbitos: Drylab , Wetlab, Human Practices, Redes Sociales y Wiki.","Synthetic biology is increasingly working with multidisciplinary teams, and in our case, the group is made up of five areas: Drylab, Wetlab, Human Practices, Social Networks and Wiki."
H72,Yo dirijo Human Practices. Te explicaría en qué consiste pero ahora mismo no tengo mucho tiempo…,I run Human Practices. I'd explain what it's all about but I don't have much time right now...
H73,¿Y si mejor empiezas por aprender bien los fundamentos de la biología sintética?,Why don't you start by learning the basics of synthetic biology?
H74,¿Por qué no te acercas a la habitación de Drylab?,Why don't you go to Drylab room?
H75,Ellos te lo explicarán mejor que yo.,They will explain it better than I can.
H76,"¡Venga, ya veras como si trabajamos todos juntos lo conseguimos!","Come on, you'll see, if we all work together we can do it!"
H77,¿Listo?,Ready?
H78,¡Pues al lío!,Let's get on with it!
H79,Deberías hablar con los de Redes Sociales para que te añadan como miembro.,You should talk to Social Networks about being added as a member.
H80,¡Esto es un desastre!,This is a disaster!
H81,"¡Encantado de conocerte, nuevo!","Nice to meet you, newbie!"
H82,¿Estás nervioso por la charla?,Are you nervous about the talk?
H83,¡No te preocupes tanto!,Don't worry so much!
H84,Tú recuerda lo que has aprendido hasta ahora.,You remember what you have learned so far.
H85,¡Lo has hecho genial en la presentación!,You did great in the presentation!
H86,¡Nadie diría que llevas menos de 15 minutos en el equipo!,No one would say you've been on the team for less than 15 minutes!
H87,¡Meses de trabajo en vano!,Months of work for nothing!
H88,¿Te acabas de meter en el proyecto? ¡A buenas horas!,Did you just get on the project? Good timing!
H89,"Después de hablar tantas veces ante un público, ya no me pongo nervioso.","After speaking so many times in front of an audience, I don't get nervous anymore."
H90,¡Pero recuerdo que la primera vez me temblaban las piernas!,But I remember the first time my legs were shaking!
H91,¿Te apetece aprender sobre los stakeholders?,You wanna learn about stakeholders?
H92,"Como te habrá dicho el jefe, los stakeholders son las personas o entidades interesadas en el proyecto que hacemos, y además, nos apoyan ya sea dándonos recursos o información, principalmente.","As the boss must have told you, the stakeholders are the people or entities interested in the project we do, and also, they support us either by giving us resources or information, mainly."
H93,"Para desarrollar un proyecto de biología sintética adecuado y que realmente busque hacer frente a problemáticas sociales, es necesario hablar con todas estas personas.","In order to develop an adequate synthetic biology project that really seeks to address social problems, it is necessary to talk to all these people."
H94,Así podremos ir conociendo sus necesidades reales a lo largo del desarrollo del proyecto e ir amoldándonos a ellas.,In this way we can get to know their real needs throughout the development of the project and adapt to them.
H95,"Como habrás visto antes, el jefe tenía que hablar con uno de ellos. Ese es el trabajo que nos toca hacer casi a diario,","As you may have seen before, the boss had to talk to one of them. That's the job we have to do almost every day,"
H96,ya que solo así podremos asegurarnos de que estamos haciendo un buen trabajo recopilando e integrando la información.,because that's the only way we can make sure we are doing a good job gathering and integrating the information.
H97,"Y tengo que añadir que, si hay suerte, a veces deciden apoyar los proyectos económicamente, que como sabrás, hacer ciencia no es barato…","And I have to add that, if we are lucky, sometimes they decide to support the projects financially, which as you know, doing science is not cheap...."
H98,¡Espero haberte ayudado!,I hope I helped you!
H99,¡Ohhh! No imaginaba lo importante que era hablar con los grupos de interés para hacer biología sintética de calidad.,Ohhh! I didn't realise how important it was to talk to stakeholders to do quality synthetic biology.
H100,¡Gracias!,Thanks!
H101,Está bien. Habla conmigo si cambias de opinión.,That's fine. Talk to me if you change your mind.
R1,Creo que esta es la sala correcta…,I think this is the right room...
R2,¡Bueno bueno bueno!,Well well well!
R3,¿Pero a quién tenemos aquí?,But who do we have here?
R4,No recuerdo haberte visto antes.,I don't remember seeing you before.
R5,E-es que soy el nuevo miembro del equipo…,I-I'm the newest member of the team...
R6,¡Aaaaaah! Eso lo explica todo.,Aaaaaaaah! That explains everything.
R7,* FLASH *,* FLASH *
R8,¡A-auu! No estaba preparado para el flash…,Auch! I was not expecting a flash.
R9,"No te quejes, que sales muy bien.","A-wow, I wasn't prepared for the flash..."
R10,"Dejame un momento, que tengo que pasarle esto a los de Wiki para que te añadan.","Give me a moment, I have to pass this on to Wiki so they can add you."
R11,"De mientras, ¿porqué no hablas con los otros miembros de Redes Sociales?","In the meantime, why don't you talk to the other members of Social Networks?"
R12,"Estoy ocupada ahora mismo cariño, háblame otra vez en 5 minutillos.","I'm busy right now honey, talk to me again in 5 minutes."
R13,¡Ya está!,That's it!
R14,Ahora estás oficialmente reconocido como un miembro en todas las redes sociales y la web de nuestro equipo.,You are now officially recognised as a member on all social media and our team website.
R15,¡Muchas gracias!,Thank you very much!
R16,"Bueno, si no necesit-","Well, if I didn't need to-"
R17,¡SÍ! ¡HA SALIDO BIEN!,YES! IT WENT WELL!
R18,¿Qué ha sido eso?,What was that?
R19,Creo que sé quién es…,I think I know who that is...
R20,¡Nuevo! ¡No te lo vas a creer!,Newbie! You won't believe it!
R21,¿Ha salido bien lo que hicimos?,Did what we did go well?
R22,¡Así es!,It did!
R23,(Pues sí que ha tardado poco.),"(Well, it didn't take long.)"
R24,Ahora solo hay que pasarle la información a los de Wiki y…,Now all we have to do is give the information to the Wiki people and...
R25,…,…
R26,¿Qué ha pasado?,What happened?
R27,¡Solo quedan 5 minutos!,Only 5 minutes left!
R28,¡Rápido nuevo! ¿Puedes llevarle este pendrive a los de Wiki? Tiene los documentos con la información que hemos redactado todos.,"Quickly, can you take this flash drive to the Wiki people? It has the documents with the information we have all written on it."
R29,¡Ya casi hemos acabado!,We're almost done!
R30,¡Solo queda un último esfuerzo!,There's only one last effort left!
R31,¡Hola!,Hi!
R32,"Doy por hecho que quieres saber lo que hacemos en Redes Sociales, ¿verdad?","I assume you want to know what we do on Social Networks, right?"
R33,"Pues mira cielo, nosotros somos una subárea de Human Practices pero con un trabajo muy especializado:","Well, look honey, we are a sub-area of Human Practices but with a very specialised job:"
R34,nos encargamos de difundir el trabajo que hacemos en el equipo y divulgar sobre muchos tópicos científicos de interés haciendo uso de las nuevas tecnologías.,we are in charge of disseminating the work we do in the team and spreading the word about many scientific topics of interest using new technologies.
R35,"Al final, por mucho que trabajemos en temas tan específicos, necesitamos generar un engagement a través de un contenido interactivo y novedoso,","In the end, as much as we work on very specific topics, we need to generate engagement through interactive and innovative content,"
R36,que haga que la gente se interese por nuestras cuentas y nos siga.,which makes people interested in our accounts and follow us.
R37,"Sin embargo, por supuesto también buscamos enseñar y educar en biología sintética, la base de nuestro proyecto.","However, of course we also seek to teach and educate in synthetic biology, the basis of our project."
R38,"Es verdad que, a lo mejor, lo primero que se te viene a la mente cuando hablamos de biología sintética no son las redes sociales de un equipo de investigación, pero piensa,","It is true that, perhaps, the first thing that comes to mind when we talk about synthetic biology is not the social networks of a research team, but think,"
R39,"¿de qué otra forma, si no, iban los científicos a dar a conocer su trabajo al público en general?",how else would scientists make their work known to the general public?
R40,"¿Pero no se dedica Human Practices a divulgar todo esto? Por ejemplo, mediante charlas...","But isn't Human Practices dedicated to disseminating all this? For example, through talks..."
R41,¡Claro!,Of course!
R42,"Al ser una subárea de Human Practices, no diferimos tanto de ellos, pero el alcance que se obtiene con las redes sociales es mucho mayor del que se puede lograr presencialmente,","Being a sub-area of Human Practices, we are not so different from them, but the reach that you get with social networks is much greater than what you can achieve in person,"
R43,"y aunque no lo parezca, saber manejar las redes sociales es algo bastante complejo…","and although it may not seem like it, knowing how to manage social networks is quite complex..."
R44,"Hay que saber cómo distribuir la información en los posts, lograr diseños atractivos, conocer cómo funcionan los algoritmos de las distintas redes sociales, interpretar las métricas de los posts…","You have to know how to distribute the information in the posts, achieve attractive designs, know how the algorithms of the different social networks work, interpret the metrics of the posts..."
R45,"Pues cielo, con eso nosotros aspiramos a que los proyectos de biología sintética sean lo más completo posible estudiando qué opina el público general,","Well, honey, with that we hope that the synthetic biology projects will be as complete as possible by studying what the general public thinks,"
R46,"¡y por supuesto, que también aprendan un montón!","and of course, that they will also learn a lot!"
R47,Recuerda tener siempre cuidado con tus contraseñas.,Remember to always be careful with your passwords.
R48,¡Usa contraseñas distintas para cada página web y cámbialas cada cierto tiempo!,Use different passwords for each website and change them from time to time!
R49,Todo depende de que se añada la información a la wiki…,It all depends on the information being added to the wiki...
R50,¡Genial!,Great!
R51,Seguro que ahora más gente es consciente de los beneficios de la biología sintética.,I'm sure more people are now aware of the benefits of synthetic biology.
R52,¡Eso espero!,I hope so!
R53,Ahora mismo estoy haciendo posts informativos sobre la biología sintética y “traducir” la biología sintética no es sencillo.,Right now I'm doing informative posts on synthetic biology and ‘translating’ synthetic biology is not easy.
R54,"Me pasaron unas plantillas pero tengo que montar yo todo, y estoy un poco agobiado…","They gave me some templates but I have to put it all together myself, and I'm a bit overwhelmed..."
R55,¿Me podrías echar una mano?,Could you give me a hand?
R56,Mmm supongo que tengo tiempo disponible…,"Mmm, I guess I have some time available..."
R57,¡Está bien!,Alright!
R58,Es importante concienciar a la gente y hacerles saber sobre los beneficios de la biología sintética.,It is important to raise awareness and let people know about the benefits of synthetic biology.
R59,Ya solo queda esperar y cruzar los dedos para que se acabe la wiki a tiempo…,All that's left is to wait and cross your fingers that the wiki is finished in time...
DL1,"Estupendo, estupendo… Todo según mis cálculos…","Great, great... According to my calculations, everything…"
DL2,¡Ha salido bien!,Went well!
DL3,¿En serio? ¡Genial!,Really? Great!
DL4,Ahora solo faltaría darles estas secuencias sintetizadas a los compañeros de Wetlab.,Now all that's left is to give these synthesised sequences to the Wetlab colleagues.
DL5,"Se que acabas de llegar y ya te estamos exigiendo mucho, ¿pero me harías el favor de llevárselas tú?","I know you've just arrived and we're already putting a lot of demands on you, but would you do me a favour and take them to them?"
DL6,"Claro, sin problema.","Sure, no problem."
DL7,Disculpe-,Excuse me…
DL8,"Un momento, ahora mismo estoy ocupado.","Just a moment, I'm busy right now."
DL9,"(Vaya, parece que voy a tener que hablar con alguien distinto por ahora…)","(Wow, looks like I'm going to have to talk to someone else for now...)"
DL10,"Sigo ocupado, háblame más tarde.","I'm still busy, talk to me later."
DL11,Mmmm sí…,Mmmm yeah…
DL12,Justo lo que yo pensaba…,Just what I thought...
DL13,Hay un sitio de restricción en mitad del CDS,There's a restriction site in the middle of the CDS.
DL14,(¿Eh? No sé qué acaba de decir. A lo mejor no es el mejor momento para presentarme…),(Huh? I don't know what you just said. Maybe this isn't the best time to introduce myself...)
DL15,"¡Ey, tú, el de ahí!","Hey, you there!"
DL16,¿E-Eh?¿Yo?,Huh? Me?
DL17,"¡Sí, tú! ¿Eres el nuevo no?","Yes, you! You're the new guy, aren't you?"
DL18,"S-sí, soy yo.","Y-Yes, that's me."
DL19,"Perfecto, pues ven y échame una mano con esto, que no tenemos mucho tiempo.","Well, come and give me a hand with this, we don't have much time."
DL20,¡Pero si todavía no se nada sobre el proyecto!,But I don't know anything about the project yet!
DL21,¡Ni siquiera sé bien lo que es la biología sintética!,I don't even know what synthetic biology is!
DL22,¿Te has metido en este proyecto sin saber ni siquiera eso?,You got into this project without even knowing that?
DL23,"Entonces, en ese caso deja que te haga una ""breve"" introducción:",Then in that case let me give you a brief introduction:
DL24,"La biología sintética es una rama de la biología que combina los principios de esta con los de la ingeniería para generar organismos o funciones que no existen en la naturaleza,","Synthetic biology is a branch of biology that combines the principles of biology with those of engineering to generate organisms and/or functions that do not exist in nature,"
DL25,con el objetivo de hacer frente a problemas que afectan a la sociedad.,with the aim of addressing problems that affect society.
DL26,"Para conseguir esto, los que trabajamos en biología sintética creamos y combinamos fragmentos de ADN para dar lugar a secuencias más complejas,","To achieve this, those of us working in synthetic biology create and combine fragments of DNA to give rise to more complex sequences,"
DL27,"llamadas construcciones genéticas, que contiene la información necesaria para que se realicen esas nuevas funciones.","called genetic constructs, which contain the information necessary for these new functions to be realised."
DL28,"Otra cosa buena es que la biología sintética integra la experimentación y la computación para diseñar, probar y optimizar estos organismos o funciones.","Another good thing is that synthetic biology integrates experimentation and computation to design, test and optimise these organisms or functions."
DL29,"Ah vale, ya entiendo. Diría que ahora me queda mucho más claro.","Oh right, I see what you mean. It's much clearer to me now."
DL30,"Entonces, ¿puedo ayudaros ahora?","So, can I help you now?"
DL31,Ahora mismo no tengo más tiempo que perder.,Right now I don't have any more time to waste.
DL32,¿Por qué no le preguntas a los otros miembros a ver si te pueden explicar a qué nos dedicamos?,Why don't you ask the other members and see if they can explain what we do?
DL33,Vuelve a hablar conmigo cuando hayas hablado con los dos.,Come back to me when you have spoken to both of them.
DL34,"No tengo tiempo para poder explicártelo todo, habla con los otros dos miembros.","I don't have time to explain everything, talk to the other two members."
DL35,"No tengo tiempo para poder de explicártelo todo, habla con los otros dos miembros.","I don't have time to explain everything, talk to the other two members."
DL36,¿Ya estás un poco más al día con lo que hacemos aquí?,Are you a little more up to date with what we do here?
DL37,"Perfecto, pues manos a la obra, que toca comprar las piezas.","Perfect, so let's get to work, it's time to buy the parts."
DL38,¡El trabajo duro siempre es recompensado al final!,Hard work always pays off in the end!
DL39,Trabajar en un equipo de biología sintética es duro…,Working in a synthetic biology team is hard...
DL40,¡Pero cuando el trabajo toma forma es muy gratificante!,But when the work takes shape it is very rewarding!
DL41,¿Y ha tomado forma ya?,And has it taken shape yet?
DL42,P-pues a-aún no… estamos en ello…,W-well n-not yet... we're working on it...
DL43,Vaya… bueno… ¿puedo ayudaros en algo?,Wow... well... Can I help you with something?
DL44,"Hmm… a ver, sí, pero antes debo asegurarme de que cuentas con los conocimientos básicos.","Hmm... let's see, yes, but first I must make sure you have the basic knowledge."
DL45,¿Sabes lo que es el ADN?,Do you know what DNA is?
DL46,No me vendría mal un repasillo…,I wouldn’t mind a little revision…
DL47,¡Sin problema!,No problem!
DL48,"El ADN es la molécula en la que todos los seres vivos almacenan su información genética, información necesaria para su desarrollo.","DNA is the molecule in which all living beings store their genetic information, information necessary for their development."
DL49,"A su vez, el ADN está formado por una sucesión de otras moléculas: los nucleótidos, que contienen cada uno una base nitrogenada.","In turn, DNA is made up of a succession of other molecules: nucleotides, each containing a nitrogenous base."
DL50,Hay 4 tipos de nucleótidos en función de la base nitrogenada que presenten:,There are 4 types of nucleotides depending on the nitrogenous base they contain:
